Labeling proteomics;sample_id;drug;susceptibility_logAUC
46;2000391;Dasatinib;0.634782609
46;2000391;Ponatinib;0.834862385
46;2000391;Venetoclax;0.852173913
46;2000391;Navitoclax;0.792792793
46;2000391;Doxorubicin;0.892857143
46;2000391;Birinapant;0.458715596
46;2000391;Bortezomib;0.798245614
46;2000391;CB-103;0.324324324
46;2000391;Dexamethasone;0.530973451
46;2000391;Cytarabine;0.544642857
46;2000391;Etoposide;0.524271845
46;2000391;Methotrexate;1
46;2000391;Selinexor;0.6875
46;2000391;Vincristine;0.720720721
46;2000391;Nilotinib;1
46;2000391;Temsirolimus;0.677083333
46;2000391;Bosutinib;0.721153846
46;2000391;Panobinostat;0.875
46;2000391;Trametinib;0.608247423
46;2000391;Ruxolitinib;1
46;2000391;Dinaciclib;0.826923077
46;2000391;A1331852;0.645833333
46;2000391;S-63845;0.8125
46;2000391;Nelarabine;0.663551402
46;2000391;Native Asparaginase;1
78;2000400;Idarubicin;0.172972973
78;2000400;Dasatinib;1
78;2000400;Ponatinib;0.201834862
78;2000400;Venetoclax;0.12173913
78;2000400;Navitoclax;0.09009009
78;2000400;Doxorubicin;0.071428571
78;2000400;Birinapant;0.348623853
78;2000400;Bortezomib;0.192982456
78;2000400;CB-103;0.22972973
78;2000400;Dexamethasone;0.212389381
78;2000400;Cytarabine;0.178571429
78;2000400;Etoposide;0.038834951
78;2000400;Methotrexate;0.145833333
78;2000400;Selinexor;0.196428571
78;2000400;Vincristine;0.243243243
78;2000400;Nilotinib;0.029411765
78;2000400;Temsirolimus;0.25
78;2000400;Bosutinib;0.548076923
78;2000400;Panobinostat;0.241071429
78;2000400;Trametinib;0.164948454
78;2000400;Ruxolitinib;0.224489796
78;2000400;Dinaciclib;0.269230769
78;2000400;A1331852;0.333333333
78;2000400;S-63845;0.075
78;2000400;Nelarabine;0.420560748
78;2000400;Native Asparaginase;0.61627907
24;2000042;Idarubicin;0.167567568
24;2000042;Dasatinib;0.165217391
24;2000042;Ponatinib;0.155963303
24;2000042;Venetoclax;0.32173913
24;2000042;Navitoclax;0.153153153
24;2000042;Doxorubicin;0.053571429
24;2000042;Birinapant;0.403669725
24;2000042;Bortezomib;0.271929825
24;2000042;CB-103;1
24;2000042;Dexamethasone;0.769911504
24;2000042;Cytarabine;0.25
24;2000042;Etoposide;0.097087379
24;2000042;Methotrexate;0.09375
24;2000042;Selinexor;0.107142857
24;2000042;Vincristine;0.198198198
24;2000042;Nilotinib;1
24;2000042;Temsirolimus;0.052083333
24;2000042;Bosutinib;0.298076923
24;2000042;Panobinostat;0.205357143
24;2000042;Trametinib;0.041237113
24;2000042;Ruxolitinib;1
24;2000042;Dinaciclib;0.211538462
24;2000042;A1331852;0.104166667
24;2000042;S-63845;0.1125
24;2000042;Nelarabine;0.719626168
24;2000042;Native Asparaginase;1
32;2000045;Idarubicin;0.135135135
32;2000045;Dasatinib;0.07826087
32;2000045;Ponatinib;0.165137615
32;2000045;Venetoclax;0.104347826
32;2000045;Navitoclax;0.054054054
32;2000045;Doxorubicin;0.089285714
32;2000045;Birinapant;0.201834862
32;2000045;Bortezomib;0.236842105
32;2000045;CB-103;0.216216216
32;2000045;Dexamethasone;0.415929204
32;2000045;Cytarabine;0.107142857
32;2000045;Etoposide;0.067961165
32;2000045;Methotrexate;0.135416667
32;2000045;Selinexor;0.303571429
32;2000045;Vincristine;0.072072072
32;2000045;Nilotinib;1
32;2000045;Temsirolimus;0.75
32;2000045;Bosutinib;0.115384615
32;2000045;Panobinostat;0.1875
32;2000045;Trametinib;0.144329897
32;2000045;Ruxolitinib;0.265306122
32;2000045;Dinaciclib;0.173076923
32;2000045;A1331852;0.020833333
32;2000045;S-63845;0.025
32;2000045;Nelarabine;0.411214953
32;2000045;Native Asparaginase;1
15;2000062;Idarubicin;0.843243243
15;2000062;Dasatinib;0.626086957
15;2000062;Ponatinib;0.798165138
15;2000062;Venetoclax;0.826086957
15;2000062;Navitoclax;0.855855856
15;2000062;Doxorubicin;0.776785714
15;2000062;Birinapant;0.596330275
15;2000062;Bortezomib;0.780701754
15;2000062;CB-103;0.5
15;2000062;Dexamethasone;0.504424779
15;2000062;Cytarabine;0.5625
15;2000062;Etoposide;0.495145631
15;2000062;Methotrexate;1
15;2000062;Selinexor;0.776785714
15;2000062;Vincristine;0.693693694
15;2000062;Nilotinib;1
15;2000062;Temsirolimus;0.739583333
15;2000062;Bosutinib;0.807692308
15;2000062;Panobinostat;0.830357143
15;2000062;Trametinib;0.525773196
15;2000062;Ruxolitinib;1
15;2000062;Dinaciclib;0.807692308
15;2000062;A1331852;0.791666667
15;2000062;S-63845;0.9
15;2000062;Nelarabine;0.738317757
15;2000062;Native Asparaginase;1
51;2000076;Idarubicin;0.902702703
51;2000076;Dasatinib;0.730434783
51;2000076;Ponatinib;0.220183486
51;2000076;Venetoclax;0.356521739
51;2000076;Navitoclax;0.531531532
51;2000076;Doxorubicin;0.526785714
51;2000076;Birinapant;0.073394495
51;2000076;Bortezomib;0.315789474
51;2000076;CB-103;1
51;2000076;Dexamethasone;1
51;2000076;Cytarabine;0.875
51;2000076;Etoposide;0.922330097
51;2000076;Methotrexate;0.0625
51;2000076;Selinexor;0.419642857
51;2000076;Vincristine;0.567567568
51;2000076;Nilotinib;0.107843137
51;2000076;Temsirolimus;0.104166667
51;2000076;Bosutinib;0.153846154
51;2000076;Panobinostat;0.553571429
51;2000076;Trametinib;0.051546392
51;2000076;Ruxolitinib;0.112244898
51;2000076;Dinaciclib;0.5
51;2000076;A1331852;0.489583333
51;2000076;S-63845;0.15
51;2000076;Nelarabine;1
51;2000076;Native Asparaginase;1
22;2000044;Idarubicin;0.297297297
22;2000044;Dasatinib;0.017391304
22;2000044;Ponatinib;0.19266055
22;2000044;Venetoclax;0.547826087
22;2000044;Navitoclax;0.423423423
22;2000044;Doxorubicin;0.026785714
22;2000044;Birinapant;0.23853211
22;2000044;Bortezomib;0.350877193
22;2000044;CB-103;0.081081081
22;2000044;Dexamethasone;0.256637168
22;2000044;Cytarabine;0.0625
22;2000044;Etoposide;0.116504854
22;2000044;Methotrexate;1
22;2000044;Selinexor;0.017857143
22;2000044;Vincristine;0.162162162
22;2000044;Nilotinib;1
22;2000044;Temsirolimus;0.65625
22;2000044;Bosutinib;0.009615385
22;2000044;Panobinostat;0.3125
22;2000044;Trametinib;0.298969072
22;2000044;Ruxolitinib;1
22;2000044;Dinaciclib;0.288461538
22;2000044;A1331852;0.239583333
22;2000044;S-63845;0.0875
22;2000044;Nelarabine;0.009345794
22;2000044;Native Asparaginase;0.186046512
85;2016047;Idarubicin;0.389189189
85;2016047;Dasatinib;0.226086957
85;2016047;Ponatinib;0.266055046
85;2016047;Venetoclax;0.634782609
85;2016047;Navitoclax;0.378378378
85;2016047;Doxorubicin;0.4375
85;2016047;Birinapant;1
85;2016047;Bortezomib;0.385964912
85;2016047;CB-103;1
85;2016047;Dexamethasone;0.831858407
85;2016047;Cytarabine;0.401785714
85;2016047;Etoposide;0.582524272
85;2016047;Methotrexate;1
85;2016047;Selinexor;0.803571429
85;2016047;Vincristine;0.171171171
85;2016047;Nilotinib;1
85;2016047;Temsirolimus;0.833333333
85;2016047;Bosutinib;0.355769231
85;2016047;Panobinostat;0.375
85;2016047;Trametinib;0.453608247
85;2016047;Ruxolitinib;1
85;2016047;Dinaciclib;0.365384615
85;2016047;A1331852;0.6875
85;2016047;S-63845;0.25
85;2016047;Nelarabine;1
85;2016047;Native Asparaginase;0.511627907
56;2016048;Idarubicin;0.32972973
56;2016048;Dasatinib;0.147826087
56;2016048;Ponatinib;0.339449541
56;2016048;Venetoclax;0.443478261
56;2016048;Navitoclax;0.207207207
56;2016048;Doxorubicin;0.446428571
56;2016048;Birinapant;1
56;2016048;Bortezomib;0.298245614
56;2016048;CB-103;0.27027027
56;2016048;Dexamethasone;0.654867257
56;2016048;Cytarabine;0.348214286
56;2016048;Etoposide;0.533980583
56;2016048;Methotrexate;1
56;2016048;Selinexor;0.794642857
56;2016048;Vincristine;0.144144144
56;2016048;Nilotinib;1
56;2016048;Temsirolimus;0.46875
56;2016048;Bosutinib;0.259615385
56;2016048;Panobinostat;0.223214286
56;2016048;Trametinib;0.628865979
56;2016048;Ruxolitinib;1
56;2016048;Dinaciclib;0.153846154
56;2016048;A1331852;0.666666667
56;2016048;S-63845;0.2625
56;2016048;Nelarabine;0.485981308
56;2016048;Native Asparaginase;0.546511628
28;2016056;Idarubicin;0.908108108
28;2016056;Dasatinib;1
28;2016056;Ponatinib;1
28;2016056;Venetoclax;0.556521739
28;2016056;Navitoclax;0.810810811
28;2016056;Doxorubicin;0.9375
28;2016056;Birinapant;1
28;2016056;Bortezomib;1
28;2016056;CB-103;1
28;2016056;Dexamethasone;0.477876106
28;2016056;Cytarabine;0.553571429
28;2016056;Etoposide;1
28;2016056;Methotrexate;1
28;2016056;Selinexor;0.651785714
28;2016056;Vincristine;0.684684685
28;2016056;Nilotinib;1
28;2016056;Temsirolimus;0.5625
28;2016056;Bosutinib;0.596153846
28;2016056;Panobinostat;0.848214286
28;2016056;Trametinib;0.783505155
28;2016056;Ruxolitinib;1
28;2016056;Dinaciclib;1
28;2016056;A1331852;1
28;2016056;S-63845;1
28;2016056;Nelarabine;0.710280374
28;2016056;Native Asparaginase;0.627906977
3;2016061;Idarubicin;0.145945946
3;2016061;Dasatinib;0.260869565
3;2016061;Ponatinib;0.211009174
3;2016061;Venetoclax;0.304347826
3;2016061;Navitoclax;0.108108108
3;2016061;Doxorubicin;0.205357143
3;2016061;Birinapant;0.623853211
3;2016061;Bortezomib;0.368421053
3;2016061;CB-103;0.148648649
3;2016061;Dexamethasone;0.734513274
3;2016061;Cytarabine;0.169642857
3;2016061;Etoposide;0.184466019
3;2016061;Methotrexate;1
3;2016061;Selinexor;0.544642857
3;2016061;Vincristine;0.153153153
3;2016061;Nilotinib;1
3;2016061;Temsirolimus;0.385416667
3;2016061;Bosutinib;0.221153846
3;2016061;Panobinostat;0.339285714
3;2016061;Trametinib;0.175257732
3;2016061;Ruxolitinib;1
3;2016061;Dinaciclib;0.298076923
3;2016061;A1331852;0.25
3;2016061;S-63845;0.05
3;2016061;Nelarabine;0.635514019
3;2016061;Native Asparaginase;0.104651163
11;2016062;Idarubicin;0.362162162
11;2016062;Dasatinib;0.695652174
11;2016062;Ponatinib;0.348623853
11;2016062;Venetoclax;0.286956522
11;2016062;Navitoclax;0.603603604
11;2016062;Doxorubicin;0.375
11;2016062;Birinapant;0.385321101
11;2016062;Bortezomib;0.622807018
11;2016062;CB-103;0.486486486
11;2016062;Dexamethasone;0.451327434
11;2016062;Cytarabine;0.410714286
11;2016062;Etoposide;0.436893204
11;2016062;Methotrexate;1
11;2016062;Selinexor;0.589285714
11;2016062;Vincristine;0.513513514
11;2016062;Nilotinib;1
11;2016062;Temsirolimus;0.427083333
11;2016062;Bosutinib;0.442307692
11;2016062;Panobinostat;0.660714286
11;2016062;Trametinib;0.329896907
11;2016062;Ruxolitinib;1
11;2016062;Dinaciclib;0.125
11;2016062;A1331852;0.354166667
11;2016062;S-63845;0.5625
11;2016062;Nelarabine;1
11;2016062;Native Asparaginase;0.406976744
6;2016063;Idarubicin;0.778378378
6;2016063;Dasatinib;1
6;2016063;Ponatinib;0.596330275
6;2016063;Venetoclax;0.130434783
6;2016063;Navitoclax;0.135135135
6;2016063;Doxorubicin;0.517857143
6;2016063;Birinapant;0.440366972
6;2016063;Bortezomib;0.561403509
6;2016063;CB-103;0.337837838
6;2016063;Dexamethasone;0.424778761
6;2016063;Cytarabine;0.696428571
6;2016063;Etoposide;0.825242718
6;2016063;Methotrexate;1
6;2016063;Selinexor;0.830357143
6;2016063;Vincristine;0.189189189
6;2016063;Nilotinib;1
6;2016063;Temsirolimus;0.552083333
6;2016063;Bosutinib;1
6;2016063;Panobinostat;0.348214286
6;2016063;Trametinib;0.711340206
6;2016063;Ruxolitinib;1
6;2016063;Dinaciclib;0.259615385
6;2016063;A1331852;0.177083333
6;2016063;S-63845;0.175
6;2016063;Nelarabine;1
6;2016063;Native Asparaginase;1
64;2017067;Idarubicin;0.383783784
64;2017067;Dasatinib;1
64;2017067;Ponatinib;0.577981651
64;2017067;Venetoclax;0.008695652
64;2017067;Navitoclax;0.216216216
64;2017067;Doxorubicin;0.008928571
64;2017067;Birinapant;0.412844037
64;2017067;Bortezomib;0.052631579
64;2017067;CB-103;0.459459459
64;2017067;Dexamethasone;0.592920354
64;2017067;Cytarabine;0.357142857
64;2017067;Etoposide;0.40776699
64;2017067;Methotrexate;0.052083333
64;2017067;Selinexor;0.919642857
64;2017067;Vincristine;0.099099099
64;2017067;Nilotinib;1
64;2017067;Temsirolimus;0.3125
64;2017067;Bosutinib;0.826923077
64;2017067;Panobinostat;0.232142857
64;2017067;Trametinib;0.474226804
64;2017067;Ruxolitinib;1
64;2017067;Dinaciclib;0.009615385
64;2017067;A1331852;0.416666667
64;2017067;S-63845;0.2
64;2017067;Nelarabine;0.028037383
64;2017067;Native Asparaginase;0.534883721
59;2017068;Idarubicin;0.178378378
59;2017068;Dasatinib;0.52173913
59;2017068;Ponatinib;0.532110092
59;2017068;Venetoclax;0.27826087
59;2017068;Navitoclax;0.099099099
59;2017068;Doxorubicin;0.160714286
59;2017068;Birinapant;0.495412844
59;2017068;Bortezomib;0.359649123
59;2017068;CB-103;0.243243243
59;2017068;Dexamethasone;1
59;2017068;Cytarabine;0.303571429
59;2017068;Etoposide;0.27184466
59;2017068;Methotrexate;1
59;2017068;Selinexor;0.714285714
59;2017068;Vincristine;0.135135135
59;2017068;Nilotinib;1
59;2017068;Temsirolimus;0.645833333
59;2017068;Bosutinib;0.605769231
59;2017068;Panobinostat;0.258928571
59;2017068;Trametinib;0.381443299
59;2017068;Ruxolitinib;1
59;2017068;Dinaciclib;0.144230769
59;2017068;A1331852;0.208333333
59;2017068;S-63845;0.1625
59;2017068;Nelarabine;0.607476636
59;2017068;Native Asparaginase;0.476744186
68;2018003;Idarubicin;0.205405405
68;2018003;Dasatinib;0.208695652
68;2018003;Ponatinib;0.275229358
68;2018003;Venetoclax;0.147826087
68;2018003;Navitoclax;0.18018018
68;2018003;Doxorubicin;0.0625
68;2018003;Birinapant;0.229357798
68;2018003;Bortezomib;0.473684211
68;2018003;CB-103;0.256756757
68;2018003;Dexamethasone;0.088495575
68;2018003;Cytarabine;0.758928571
68;2018003;Etoposide;0.213592233
68;2018003;Methotrexate;1
68;2018003;Selinexor;0.214285714
68;2018003;Vincristine;0.306306306
68;2018003;Nilotinib;0.303921569
68;2018003;Temsirolimus;0.114583333
68;2018003;Bosutinib;0.125
68;2018003;Panobinostat;0.455357143
68;2018003;Trametinib;0.865979381
68;2018003;Ruxolitinib;0.010204082
68;2018003;Dinaciclib;0.25
68;2018003;A1331852;0.083333333
68;2018003;S-63845;0.2125
68;2018003;Nelarabine;0.112149533
68;2018003;Native Asparaginase;0.395348837
74;2018031;Idarubicin;0.562162162
74;2018031;Dasatinib;0.47826087
74;2018031;Ponatinib;0.614678899
74;2018031;Venetoclax;0.704347826
74;2018031;Navitoclax;0.351351351
74;2018031;Doxorubicin;0.75
74;2018031;Birinapant;1
74;2018031;Bortezomib;0.728070175
74;2018031;CB-103;0.472972973
74;2018031;Dexamethasone;0.398230088
112;2020036;Idarubicin;0.210810811
112;2020036;Dasatinib;0.608695652
112;2020036;Ponatinib;0.376146789
112;2020036;Venetoclax;0.67826087
112;2020036;Navitoclax;0.477477477
112;2020036;Doxorubicin;0.223214286
112;2020036;Birinapant;0.605504587
112;2020036;Bortezomib;0.412280702
112;2020036;CB-103;0.094594595
112;2020036;Dexamethasone;0.318584071
112;2020036;Cytarabine;0.241071429
112;2020036;Etoposide;0.194174757
112;2020036;Methotrexate;1
112;2020036;Selinexor;0.151785714
112;2020036;Vincristine;0.342342342
112;2020036;Nilotinib;1
112;2020036;Temsirolimus;0.302083333
112;2020036;Bosutinib;0.192307692
112;2020036;Panobinostat;0.410714286
112;2020036;Trametinib;0.154639175
112;2020036;Ruxolitinib;1
112;2020036;Dinaciclib;0.317307692
112;2020036;A1331852;0.364583333
112;2020036;S-63845;0.375
112;2020036;Nelarabine;0.757009346
112;2020036;Native Asparaginase;1
67;2017032;Idarubicin;0.659459459
67;2017032;Dasatinib;0.469565217
67;2017032;Ponatinib;0.724770642
67;2017032;Venetoclax;0.2
67;2017032;Navitoclax;0.657657658
67;2017032;Doxorubicin;0.607142857
67;2017032;Birinapant;0.018348624
67;2017032;Bortezomib;0.675438596
67;2017032;CB-103;0.013513514
67;2017032;Dexamethasone;0.389380531
67;2017032;Cytarabine;0.026785714
67;2017032;Etoposide;0.281553398
67;2017032;Methotrexate;1
67;2017032;Selinexor;0.348214286
67;2017032;Vincristine;0.09009009
67;2017032;Nilotinib;0.284313725
67;2017032;Temsirolimus;0.447916667
67;2017032;Bosutinib;0.096153846
67;2017032;Panobinostat;0.214285714
67;2017032;Trametinib;0.082474227
67;2017032;Ruxolitinib;1
67;2017032;Dinaciclib;0.653846154
67;2017032;A1331852;1
67;2017032;S-63845;0.3
67;2017032;Nelarabine;0.08411215
67;2017032;Native Asparaginase;0.662790698
18;2000376;Idarubicin;0.945945946
18;2000376;Dasatinib;1
18;2000376;Ponatinib;0.825688073
18;2000376;Venetoclax;1
18;2000376;Navitoclax;0.873873874
18;2000376;Doxorubicin;0.651785714
18;2000376;Birinapant;1
18;2000376;Bortezomib;1
18;2000376;CB-103;0.513513514
18;2000376;Dexamethasone;0.805309735
18;2000376;Cytarabine;0.491071429
18;2000376;Etoposide;0.883495146
18;2000376;Methotrexate;1
18;2000376;Selinexor;0.883928571
18;2000376;Vincristine;1
18;2000376;Nilotinib;1
18;2000376;Temsirolimus;1
18;2000376;Bosutinib;0.682692308
18;2000376;Panobinostat;1
18;2000376;Trametinib;0.773195876
18;2000376;Ruxolitinib;1
18;2000376;Dinaciclib;1
18;2000376;A1331852;0.78125
18;2000376;S-63845;1
18;2000376;Nelarabine;0.523364486
18;2000376;Native Asparaginase;1
54;2000363;Idarubicin;0.308108108
54;2000363;Dasatinib;0.104347826
54;2000363;Ponatinib;0.073394495
54;2000363;Venetoclax;0.486956522
54;2000363;Navitoclax;0.585585586
54;2000363;Doxorubicin;0.196428571
54;2000363;Birinapant;0.587155963
54;2000363;Bortezomib;0.807017544
54;2000363;CB-103;0.175675676
54;2000363;Dexamethasone;0.353982301
54;2000363;Cytarabine;0.160714286
54;2000363;Etoposide;0.029126214
54;2000363;Methotrexate;1
54;2000363;Selinexor;0.071428571
54;2000363;Vincristine;0.594594595
54;2000363;Nilotinib;1
54;2000363;Temsirolimus;0.239583333
54;2000363;Bosutinib;0.201923077
54;2000363;Panobinostat;0.6875
54;2000363;Trametinib;0.113402062
54;2000363;Ruxolitinib;1
54;2000363;Dinaciclib;0.615384615
54;2000363;A1331852;0.53125
54;2000363;S-63845;0.6625
54;2000363;Nelarabine;1
54;2000363;Native Asparaginase;0.058139535
75;2017040;Idarubicin;0.275675676
75;2017040;Dasatinib;0.086956522
75;2017040;Ponatinib;0.091743119
75;2017040;Venetoclax;0.730434783
75;2017040;Navitoclax;0.576576577
75;2017040;Doxorubicin;0.241071429
75;2017040;Birinapant;0.155963303
75;2017040;Bortezomib;0.745614035
75;2017040;CB-103;0.405405405
75;2017040;Dexamethasone;0.247787611
75;2017040;Cytarabine;0.267857143
75;2017040;Etoposide;0.174757282
75;2017040;Methotrexate;1
75;2017040;Selinexor;0.223214286
75;2017040;Vincristine;0.423423423
75;2017040;Nilotinib;0.039215686
75;2017040;Temsirolimus;0.208333333
75;2017040;Bosutinib;0.057692308
75;2017040;Panobinostat;0.625
75;2017040;Trametinib;0.12371134
75;2017040;Ruxolitinib;0.244897959
75;2017040;Dinaciclib;0.730769231
75;2017040;A1331852;0.458333333
75;2017040;S-63845;0.725
75;2017040;Nelarabine;0.551401869
75;2017040;Native Asparaginase;0.023255814
77;2000388;Idarubicin;0.340540541
77;2000388;Dasatinib;0.304347826
77;2000388;Ponatinib;1
77;2000388;Venetoclax;0.886956522
77;2000388;Navitoclax;0.864864865
77;2000388;Doxorubicin;0.508928571
77;2000388;Birinapant;1
77;2000388;Bortezomib;1
77;2000388;CB-103;1
77;2000388;Dexamethasone;0.761061947
77;2000388;Cytarabine;0.732142857
77;2000388;Etoposide;0.553398058
77;2000388;Methotrexate;1
77;2000388;Selinexor;0.491071429
77;2000388;Vincristine;1
77;2000388;Nilotinib;1
77;2000388;Temsirolimus;0.625
77;2000388;Bosutinib;0.423076923
77;2000388;Panobinostat;0.892857143
77;2000388;Trametinib;0.556701031
77;2000388;Ruxolitinib;1
77;2000388;Dinaciclib;1
77;2000388;A1331852;0.708333333
77;2000388;S-63845;0.825
77;2000388;Nelarabine;1
77;2000388;Native Asparaginase;0.325581395
30;2000392;Idarubicin;0.410810811
30;2000392;Dasatinib;1
30;2000392;Ponatinib;0.678899083
30;2000392;Venetoclax;0.765217391
30;2000392;Navitoclax;0.45045045
30;2000392;Doxorubicin;0.321428571
30;2000392;Birinapant;1
30;2000392;Bortezomib;0.763157895
30;2000392;CB-103;0.283783784
30;2000392;Dexamethasone;0.079646018
30;2000392;Cytarabine;0.071428571
30;2000392;Etoposide;1
30;2000392;Methotrexate;1
30;2000392;Selinexor;0.008928571
30;2000392;Vincristine;1
30;2000392;Nilotinib;1
30;2000392;Temsirolimus;0.5
30;2000392;Bosutinib;1
30;2000392;Panobinostat;0.008928571
30;2000392;Trametinib;1
30;2000392;Ruxolitinib;1
30;2000392;Dinaciclib;1
30;2000392;A1331852;1
30;2000392;S-63845;1
30;2000392;Nelarabine;1
30;2000392;Native Asparaginase;0.5
44;2000368;Idarubicin;0.227027027
44;2000368;Dasatinib;0.043478261
44;2000368;Ponatinib;0.018348624
44;2000368;Venetoclax;0.747826087
44;2000368;Navitoclax;0.261261261
44;2000368;Doxorubicin;0.169642857
44;2000368;Birinapant;1
44;2000368;Bortezomib;1
44;2000368;CB-103;0.391891892
44;2000368;Dexamethasone;0.115044248
44;2000368;Cytarabine;0.098214286
44;2000368;Etoposide;0.058252427
44;2000368;Methotrexate;1
44;2000368;Selinexor;0.142857143
44;2000368;Vincristine;0.630630631
44;2000368;Nilotinib;1
44;2000368;Temsirolimus;0.145833333
44;2000368;Bosutinib;0.134615385
44;2000368;Panobinostat;0.696428571
44;2000368;Trametinib;0.103092784
44;2000368;Ruxolitinib;1
44;2000368;Dinaciclib;0.519230769
44;2000368;A1331852;0.052083333
44;2000368;S-63845;0.5375
44;2000368;Nelarabine;0.224299065
44;2000368;Native Asparaginase;1
20;2000379;Idarubicin;1
20;2000379;Dasatinib;0.252173913
20;2000379;Ponatinib;1
20;2000379;Venetoclax;1
20;2000379;Navitoclax;1
20;2000379;Doxorubicin;1
20;2000379;Birinapant;1
20;2000379;Bortezomib;1
20;2000379;CB-103;1
20;2000379;Dexamethasone;1
20;2000379;Cytarabine;1
20;2000379;Etoposide;0.718446602
20;2000379;Methotrexate;1
20;2000379;Selinexor;0.669642857
20;2000379;Vincristine;1
20;2000379;Nilotinib;1
20;2000379;Temsirolimus;1
20;2000379;Bosutinib;1
20;2000379;Panobinostat;1
20;2000379;Trametinib;1
20;2000379;Ruxolitinib;1
20;2000379;Dinaciclib;1
20;2000379;A1331852;1
20;2000379;S-63845;1
20;2000379;Nelarabine;1
20;2000379;Native Asparaginase;1
91;2017105;Idarubicin;0.556756757
91;2017105;Dasatinib;0.426086957
91;2017105;Ponatinib;1
91;2017105;Venetoclax;1
91;2017105;Navitoclax;0.72972973
91;2017105;Doxorubicin;0.285714286
91;2017105;Birinapant;1
91;2017105;Bortezomib;0.833333333
91;2017105;CB-103;1
91;2017105;Dexamethasone;1
91;2017105;Cytarabine;1
91;2017105;Etoposide;0.631067961
91;2017105;Methotrexate;1
91;2017105;Selinexor;1
91;2017105;Vincristine;1
91;2017105;Nilotinib;1
